,Text
78,moler
92,casamientos
95,casamiento
110,bebían
156,regar
157,beba
164,regadíos
285,beber
313,comer
322,guerra
325,casarse
336,pagaban
337,tributo
338,pagándolo
342,pagarían
399,pobló
416,asentó
417,fundó
433,ganada
441,acometidos
463,sembrados
481,cultiva
484,Poblóse
535,guarnición
562,lavar
569,huertas
572,caballerías
580,siembran
595,crían
605,festivales
608,beben
630,plaza
683,hortalizas
726,plantasen
734,criar
752,bebidas
788,edificar
793,labrar
831,venden
873,tratos
874,contrataciones
878,comprar
879,vender
903,viven
904,pagan
905,tributos
912,diezmos
913,mesa mayor
920,pagar
939,entierro
940,sepultura
971,estancias de ganado mayor
985,predicación
986,Evangelio
1024,congregan
1025,misa
1028,misas
1080,estancia de ganado mayor
1090,tribulación
1099,fiesta
1121,procesión
1140,moraba
1143,cobrar
1254,poblaron
1279,sembrar
1347,administran los sacramentos
1458,adorar
1460,afición
1469,gobernaban
1470,tributaban
1478,Adoraban
1482,sacrificaban
1486,adoraban
1487,gobernados
1489,peleaban
1491,sujeción
1508,trabajaban
1571,pescan
1576,pesquería
1653,sembrase
1712,minas
1761,granjerías
1765,mercadeando
1769,compran
1779,tributan
1782,tasaciones
1802,doctrina
1810,penitencia
1989,casó
2027,temporal
2028,regadío
2072,supersticiones
2190,sujetos
2247,amistad
2264,conquista
2388,gobierno
2496,servían
2497,obedecían
2498,mandaba
2509,adoraba
2512,costumbre
2513,ayunar
2523,ofrecían
2527,bailaban
2528,emborrachaban
2539,negocios
2572,comían
2581,comen
2584,casaban
2645,plantaran
2668,bebiéndola
2689,gasto
2690,vestirse
2707,trato
2708,granjería
2725,Pagan
2744,casar
2745,sacramentos
2869,adoración
2884,sirvieron
2885,tributaron
2911,sacrificio
2912,mataban
2913,ritos
2916,bailar
2917,danzar
2919,emborracharse
2924,regir
2925,mandar
2952,caza
2954,vendían
2976,trabajan
3056,Crían
3234,conquistóla
3237,gobernando
3313,sujeta
3366,labranzas
3429,guerras
3434,sustentarlo
3454,sacrificios
3462,ayuno
3464,ley
3465,confesaban
3471,Gobernábanse
3472,justicia
3473,hurtar
3474,hendían la boca
3475,cortábanle
3476,apedreaban
3479,leyes
3483,celebraban
3485,ceremonias
3495,Peleaban
3519,conquistaron
3672,labra
3917,Gobernando
3939,veta
3995,contratación
4123,sujetas
4220,sujetasen
4235,guarniciones
4240,ofrecíanles
4246,obedecido
4247,respetado
4249,gobernaba
4293,cazaban
4308,embriagaban
4339,quebrantamiento
4370,sementeras
4385,sahumar
4408,sustentan
4424,siembre
4448,mina
4460,proveen
4486,hilan
4487,tejen
4492,comprar españoles
4500,tasados
4510,administra los sacramentos
4643,sujetó
4645,tributándole
4654,lavaban
4665,fiestas
4672,sujetase
4707,cazaba
4711,comía
4729,cazan
4765,pescar
4886,alquilar
4890,riego
4896,administrarles los sacramentos
5106,costumbres
5108,sacrificaderos
5110,pecaba
5258,críase
5261,sembrasen
5292,sustento
5293,mercados
5354,sujeto
5398,concierto
5564,enemigos
5610,judicial
5646,alcabala
5742,pelea
5780,Conquistó
5843,servicios personales
5845,limpiar
5871,ayunaban
5882,Sacrificaban
5885,comprados
5899,agüeros
5900,abusiones
5916,tasado
5982,Comían
6004,Bebían
6018,bebía
6030,Beben
6043,embriagan
6046,cultivaban
6047,labraban
6048,limpiaban
6108,bañarse
6115,bañar
6140,riega
6141,huerta
6265,cultivan
6275,labran
6276,benefician
6433,trueco
6459,trributo
6555,aprovechamiento
6682,oración
6693,mitote
6694,bailando
6709,compraban
6714,mitotes
6718,castigaba
6719,delitos
6738,defensa
6739,pelear
6791,riegan
7021,conquistó
7059,policía
7061,congregados
7104,doctrinan
7163,sembraban
7263,cultivar
7270,cría
7519,plantase
7521,Críanse
7563,cazas
7640,doctrínales
7699,Sacrificábanse
7704,bailes
7707,borracheras
7775,arrendar
7954,embriagados
8080,críanse
8174,conquistados
8263,aprisionaban
8267,danzas
8548,tributaban mantas
8576,adoraciones
8614,adulterio
8616,mataba
8625,pleitos
8692,cantos
8720,comer carne
8866,sembrarlos
8867,riegos
8884,Criarían
8891,sembrándola
8985,contratos
8987,tratan
9064,renta del alcabala
9166,tierras de riego
9176,tasación
9181,vicios
9182,hurtos
9278,Tributaban
9284,labradas
9323,tlacaxipehualiztli
9325,cautivado
9328,baile
9342,desollaban
9350,limosna
9356,totzoztontli
9368,sacrificados
9377,ofrenda
9381,huey totzoztli
9387,ceremonia
9389,tepopochtli
9392,holgar
9394,etzalqualiztli
9402,Tecuilhuitl
9410,Huey tecuilhuitl
9420,Micailhuizintli
9421,holgaban
9423,Huey micailhuitl
9439,Tenahuatiliztli
9445,Hecoztli
9453,Paxtli
9465,coronaban
9473,Quecholli
9489,Panquetzaliztli
9499,Atemoztli
9502,Tititl
9516,tañendo
9517,cantando
9520,quemaban
9528,Izcalli
9535,Cihuailhuitl
9541,comiendo
9542,bebiendo
9546,fuego nuevo
9560,vivían
9562,juzgado
9565,estatutos
9566,ordenanzas
9567,pena de muerte
9577,veneración
9581,castigar
9584,pena
9588,quemar
9671,vicio
9735,sembrarlas
9771,comprarlos
9785,beneficio
9838,agricultura
10043,labores
10064,castigando
10130,cazar
10267,trueque
10354,Riegan
10437,tejer
10481,SUJETOS
10546,conquistar
10572,trabajo
10656,cogen
10682,bebe
10743,trabajadores
10744,haraganes
10941,congregado
11100,pelearon
11103,mataron
11119,sojuzgar
11258,derramados
11280,trabajar
11523,cuadrillas
11527,vetas
11585,casados
11594,repartimiento
11614,contratan
11678,culto
12071,adoró
12076,gobernaron
12079,gobernaciones
12091,cosecha
12132,toman
12150,cultivara
12165,pesca
12287,conquistado
12536,idolatraban
12559,cobraban
12582,servidumbre
12588,sacrificar
12605,reverenciaban
12622,ofrendas
12629,servicio
12646,celebrar
12725,criaban
12737,emborrachan
12740,suertes
12741,hechicería
12751,heredaban
12760,dote
12780,negocio
12787,servicios
12788,tequios
12804,obediencia
12805,acatamiento
12807,obedecidos
12837,vencidos
12839,escuadrón
12840,enemigo
12842,acometer
12844,vencían
12847,vencedores
12880,Pintábanse
13017,borrachera
13023,bebiesen
13094,bañan
13163,siembra
13283,vende
13775,idolatría
13782,casaba
13787,matrimonio
14166,gobernación
14310,sacrificaran
14316,gobernase
14318,rigiese
14741,administro los santos sacramentos
14742,confesado
14896,sacrificarse
15007,defendían
15019,fragura
15185,conquistase
15187,vasallajes
15208,matar
15213,ofrecérselo
15215,cautivaban
15345,lavándolo
15352,tributar
15354,tianguez
15358,cristianos
15375,produce
15533,cobrasen
15535,gobernarse
15741,habitar
15902,embriagarse
15922,conversión
16085,mantienen
16094,cultivando
16243,gobernada
16285,conquistada
16396,confiesan
16408,confesar
16419,Siembran
16473,tiñen
16510,Minas
16696,danzaban
16939,sementera
16967,régimen
17176,ayuntaban
17443,sangre
17458,gobernar
17730,tributarles
17744,ofrecer
17848,pescaban
17869,dormían
17902,sangraban
17909,congregarse
17924,lavan
17942,plantarlas
17970,sacar
17980,tratar
18053,pintar
18129,gobernasen
18260,sembrarlo
18320,hortaliza
18559,tapaban
18669,sembrarse trigo
18676,pesque
18809,rendir
18810,sujetar
19099,sementerillas
19113,mercado
19114,tianguiz
19348,alquilarse
19374,administrar los sacramentos
19513,administran la doctrina
19629,doctrinados
19800,bautizado
19861,orar
19883,sacaban el corazón
19890,sacándose sangre
20145,diezmo
20175,industriados
20286,bautizó
20304,encomendar
20511,contrato
20539,trata
20540,contrata
20772,sacándoles el corazón
20827,ganó
21104,pagaba
21121,Justicia
21122,castigaban
21354,arriendan
21865,doctrinaban
21966,sujetaron
21972,tañesen
21973,teponaztles
21974,cantasen
21975,música
22084,tributase
22130,parias
22132,tribu(t)o
22152,guerreaban
22168,defender
22169,ofender
22481,señal de la cruz
22731,venció
22815,véndela
23207,trabajando
23427,oficio
23437,audiencias
23439,decreto judicial
23632,reconocieron
23704,chupar
23732,junta
23745,convites
23748,borrachos
23775,parlamento
23798,heredar
23825,invocaciones
23834,obedecer
23842,Castigaban
23844,hurtaban
23847,deudas
23861,victoria
23869,entretejían
23927,invocaban
24404,apedrear
25011,delito
25113,emborrachar
25268,sahuman
25298,sembrado
25578,reparaban
25610,Ayunaban
25695,castigo
25696,adulterios
25698,vendíanlo
25810,holgazanes
26201,emborrachaba
26203,apedreasen
26421,criarían
26726,Casábanse
27147,minarlo
27165,areitos
27171,temazcal
27255,señorear
27258,señorío
27323,MALINALTZI
27324,fiesta del torcer
27325,fiesta del fuego
27327,sahumaban
27341,fiesta del OCELOTL
27344,ofrecíanle
27349,fiesta de ACATL
27384,elección
27389,electo
27393,castigado
27401,justiciado
27402,casado
27407,fornicara
27434,ofrecía
27435,perdonaban
27469,ferias
27488,enterrábanlo
27495,enterraban
27513,obsequias
27566,bebida
27603,tejerlos
27609,venderla
27642,sujetándolos
27644,obedeciesen
27707,tributábanle
27721,plantar la fe
27723,quebrantarlos
27747,fiesta de desollar los hombres
27760,panquetzaliztli
27761,fiesta de pendones o banderas
27806,hilar
27808,pescas
27822,batalla
27932,ingenios
27956,tiangues
27959,tejerlo
28040,Visitan
28048,encomendado
28055,coge
28099,guerreó
28112,cobran
28175,sacrificado
28216,casan
28232,Cógese
28248,contratar
28250,compra
28256,siembren
28306,casarlos
28307,bautizar
28387,pacíficos
28396,sembrarle
28409,Gobenábanse
28628,vendan
28788,Conquistólo
28801,pacificar
28811,encomendó
28840,encomendaron
28895,boda
28968,estancia
28993,sembrare
29014,Siémbranla
29015,cógese
29086,trate
29087,contrate
29088,venderles
29108,fundaron
29246,rebelaron
29264,pacificó
