,Text
155,pescado
158,ganado
286,ganados
588,bestias
596,aves
597,garzas
598,ánades
599,tordos
657,gusano
733,grana
770,animales
772,ganado mayor
776,gallinas
778,palomas
779,ansares
780,patos
782,gavilanes
783,azores
784,sacres
785,nieblís
786,torzuelos
885,potros
886,mulas
1246,culebras
1570,ostiones
1574,pescados
1575,camarones
1693,tigres
1694,leones
1695,venados
1696,temazatles
1697,puercos
1698,animalejos
1700,víboras
1702,lagartos
1706,yeguas
1708,perdices
1709,liebres
1710,conejos
1898,faisanes
2198,cuyotes
2199,lobos
2281,Animales
2283,hurones
2289,gatos
2291,onzas
2293,jabalíes
2298,ganado ovejuno
2299,cabruno
2610,guacamayas
2611,papagayos
2654,grana cochinilla
2678,leones pardos
2682,codornices
2683,gallinas monteses
2960,vaca
2961,carnero
3033,hormigas
3070,tórtolas
3455,culebra
3621,serpiente
3622,áspid
3625,víbora
3630,bita
3815,animales bravos
3817,lebreles
3820,adives
3824,zorras
3826,perros
3830,chivatillo
3842,cuervos
3843,auras
3844,gorriones
3846,urracas
3849,cenzontles
3850,calandrias
3854,halcones
3856,jerifaltes
3857,alfaneques
3858,neblís
3859,bornis
3861,aves de rapiña
3862,águilas
3870,gallina
3878,iguanas
3886,perrillos
3887,gozques
3894,tejones
3896,armados
3897,lechón
3898,dantas
4104,mariposa
4292,ratones
4434,Ganados
4435,cabras
4436,ovejas
4531,pajaritos
4532,huiziziles
4536,pájaros
4648,tigre
4708,venado
4709,conejo
4710,ratón
4776,abejas
4833,pavas
4838,águilas reales
4839,palomas duendas
4841,aves bravas
5170,truchas
5183,buey
5270,bestias bravas
5273,leoncillos
5537,aves montesas
6000,tuzas
6003,ayotuchtl
6248,erizos
6313,colmenas
6324,micos
6327,raposas
6328,zorrillos
6329,armadillos
6330,caballo
6331,lechones
6340,tequecholes
6341,quexelites
6343,merlas
6352,murciélagos
6698,perro
6699,gato
7679,mariposas
7805,sabandijas
7925,pájaro
8079,gatos monteses
8242,león
8717,lagartijas
8862,bueyes
8929,caballos
9743,coyotes
10191,mojarras
10192,bagrecillos
10759,camarón
11215,puercos monteses
11222,sapos
11374,caimanes
11380,novillo
11447,ganados mayores
11486,corzos
11498,nutrias
11502,gatos negros
11507,escorpiones
11509,monos
11844,toro
12038,ganado vacuno
12113,mosquitos
12159,róbalo
12160,pargos
12194,ciervos
12195,gamos
12198,iguana
12199,lagartillo
12901,anadones
12990,carneros
13192,Grana
13256,raposos
13263,gallos monteses
13692,tortuga
13921,puerco
14301,lagartija
14412,machos
15586,topos
15712,palomas torcazas
17089,pizotes
17624,chachalacas
17963,gallos
18163,lagarto
18252,lizas
18253,parguetes
18842,alacrán
18851,bagres
18853,róbalos
18861,mojarrillas
18874,ganado menor
18875,ovejuno
19184,gusanillo
19263,gatillos
19278,cernícalos
19279,buharros
19285,patos reales
19287,tortolillas
19548,ranas
19878,palomas montesas
20031,chicharra
20098,zorros
20104,ardillas
20106,gallinas montesas
20248,mono
20372,ratones del campo
20387,vacas
20677,rana
21781,aves de Castilla
22344,cabritos
22741,búhos
23059,papagayo
23624,águila
24095,pitos reales
24133,robalo
24570,largartijas
24574,liebre
24720,mastines
25214,lagartigas
25327,comadrejas
25932,iztacmichi
25935,tiyacacusi
25940,cangrejos
25941,galápagos
26970,azor
27306,TOMITL
27310,TUCHOMITL
27354,QUETZAL
27357,paloma
27583,leoncillos pardos
27584,tigrillos
27589,tejoncillos
27591,pizotl
27947,sabandijas montesinas
28581,garañones
29037,chivatos
29441,zorrillo
30063,garza
30551,gallo
30665,gatos cervales
30879,cochinilla
31563,CULEBRA
31655,gusanos
31656,cabrahigos
31684,chinches
31730,animales domésticos
32447,broma
32505,alacranes
32729,ganados vacunos
33240,vacuno
33523,grullas
33524,golondrinas
33528,pavos
33533,jumentos
35331,cientopies
35332,arañas
35527,lobo
35773,jabalí
36202,fiera
36536,jejenes
37093,montesas
37095,CHlCHITONES
37107,ánsares
37343,burros
37344,burras
37494,CHICHITONES
37501,osos
37508,terneras
37995,buhos
37996,lechuzas
38499,pollos
39028,guacamaya
39378,neblíes
40043,abejones negros
40045,abejones
40160,TUZlNI
40505,pescadillos chicos
40568,alimañas
40583,cimarronas
40733,TUSTLE
41085,CUELZALTOTOL
41194,CHACALES
41252,pulga
41313,domésticas
41757,ganarlos
41882,sanguijuelas
42247,sardinas
42595,mula
42821,ternera
42823,pardos
42824,berrendos
42840,palomas torcaces
42849,galgos
43233,neblies
43758,gansos
43843,gallinas de Castilla
44387,cimarrón
44601,CHICHTLI
44602,lechuza
44877,gozquillos
44879,animalejo
44884,langostas
45025,MAZAMIZTLES
45316,chontales
45317,tuztecos
45493,chinches voladoras
45494,escarabajos
45495,mosquitos jejenes
