,Text
111,pozos
112,aljibes
194,iglesia
302,casas
387,Catedral
603,templos
604,iglesias
628,caños
631,monasterios
795,pilares
796,portadas
797,edificios
804,cimientos
809,empedrar
833,loza blanca
848,paredes
901,casa
906,iglesia catedral
919,hospital
924,catedral
938,bóveda
955,monasterio
960,templo
967,molinos
988,colegio
1051,Hospital de Nuestra Señora
1059,capellanía
1086,ermita
1103,cofradía
1105,santa obra
1113,cárcel pública
1119,Cofradía
1796,iglesia parroquial
2029,cercado
2300,Edificios
2301,fortaleza
2325,convento
2588,traza
2701,azotea
3091,adobes
3348,acequias
3979,albarradas
3984,fuerza
3986,puente
4021,capillas
4854,represa
4875,tejados
5006,escalera
5298,chozas
5300,paredoncillos
5302,fortalezas
5305,fuertes
5558,bohíos
5561,techado
5682,puentes
5857,cúes
5858,torreones
5859,escalones
5863,torre
5925,auditorio
6388,jacales
6409,escaleras
6807,ventanas
7545,edificio
8367,adobe
8859,morillos
9024,celdas
9339,cu
9433,tecpa
9714,edifican
9761,terrado
9794,vicariato
10441,mesón
10735,solares
10950,parroquias
11108,albarrada
11615,mercado
11661,ladrillo
11711,teja
12612,sacrificadero
12769,patio
13282,tianguiz
13301,aposentos
13303,pocilga
13308,patios
13902,altar
14426,azoteas
15002,fuerte
15004,cercas
15739,cercados
15873,plaza
16144,haciendas
16145,ingenios
17131,cuadra
17132,salas
17134,puertas
17143,plancha
17162,sala
17165,crucero
17197,cuadras
17200,ventana
17207,peñoles
17434,oratorio
17435,casa de adoración
17590,pozas
18721,lodo
19316,horcones
19319,armazón
19381,ermitica
20665,palacio
20770,ermitas
20922,tejado
21262,chimeneas
21391,patiecillo
21805,xacales
21812,tianguez
21841,capilla
22889,cubiertas
22891,techo
22898,vigas
22921,abadía
23322,vivienda
23327,tapias
24182,mercados
24794,aposento
25958,tapia
27115,Juzgado
27292,cepa
27296,techumbre
27377,molino
27404,puerta
27497,bóvedas
27892,gradas
28509,choza
28851,casa pública
29457,terrados
29694,cárcel
30090,canales
30149,caserías
30431,altar de piedra
31179,casería
31182,ladrillos
31333,tablas
31334,tajamaniles
31360,habitación
31784,tablillas
31785,tejas
31790,TAXAMANILES
32316,sobrados
32317,cobertor
32319,entresuelos
34092,tapiería
34095,tajamanil
34096,latas
34707,presidios
34718,presidio
36595,piedra
36596,varas
36611,cercadas
36633,tabernas
36777,TEOCALLL
37011,ranchos
37679,casa rural
37681,galera
37682,sacristía
37707,iglesia mayor
38386,verjas
38564,galeras
38794,barbacoas
39358,conventos
39889,hospitales
40602,carrizo
40838,paredones
40841,TENANGO
40988,cobertizos
41341,zacate
42144,capilla mayor
42147,altar mayor
42148,altares
42168,parroquia
42181,MONASTERIO
42198,cuarto
42199,dormitorio
42417,tribuna
42599,carteles
42678,acequia
42903,tijeras
43812,jagüeyes
43813,estanques
44409,habitaciones
45231,iglesias catedrales
45737,iglesia monasterio
45741,claustros
46048,naves
46050,coro
46175,iglesia de bóveda
46678,ojo
47619,palacios
47873,cimiento
47887,corredores
47911,arcos
47994,escuela
48024,caballerías
48557,casas de sacrificio
48581,casa de sacrificio
49049,pozo
50469,piletas
50893,plazuela
51640,capellanías
51648,HOSPITAL
51759,matadero
51879,carnicería
52415,edificio redondo
52485,TECPAN
52727,portada de cantería
52728,huerta
53035,prisión
53694,calles
53885,JACALES
53886,TAJAMANILES
54131,sepultura
54582,sepulturas
54686,casillas
54888,TIANGUEZ
54897,cubierta
55539,plazas
55714,tablazón
55966,colegios
57390,fosos
57676,trincheras
57754,puertezuela
57846,murallas
57865,muralla
57869,foso
57872,cue
57905,otra cerca
57907,baluarte
57908,desta cerca
57921,cavas
59347,edificos
60993,monasterio del SEÑOR SANTO AGUSTÍN
61142,batán
61793,caña de maíz
63416,calicanto
63568,calmecac
63578,telpochcalco
63579,telpochtlato
64093,calle
64277,cementerio
64645,camarilla
65171,cercadillos
65334,horcas
65336,tzumpantles
65381,barrancas
65446,cúe
65910,Hospital de Convalecientes
66016,teopazulco
66019,barranca
68202,chozuelas
70000,feria
70060,yglesias
70277,columnas
70278,basas
72269,casas reales
72271,archivo general
72756,almenas
72829,tlacatecco
72908,losa
73085,temalacatle
73316,chimenea
73317,fogón
73504,telpochcali
74407,casas de placer
74414,batanes
