,Text
126,temple
127,cálido
128,seco
152,tiempo de aguas
154,tiempo de secas
244,frígidas
409,caliente
448,temperamento
449,calor
450,frío
451,sequedad
452,humedad
455,llover
456,viento
457,norte
458,aguas
466,viento sano
467,viento sur
589,tiempo de seca
669,tierra fría
673,tierra caliente
1255,cálida
1257,rayos
1258,nortes
1259,sures
1260,brisas
1544,invierno
1918,húmeda
2272,temples
2595,aires
3249,fría
3255,húmedas
3269,viento norte
3588,neblinas
3955,verano
4330,destemplado
4337,frialdad
4393,airoso
4466,temporales
4477,lluvias
5013,aguacero
5557,calientes
5703,húmedos
5704,ñeblinosos
5705,templados
5711,aguas lluvias
5713,cálidos
5720,fríos
5722,ñeblinosas
5736,húmedo
6058,lluviosa
6059,llueve
6098,nortes fríos
6549,vientos
7030,seca
7033,sur
7744,templada
7753,templado
8784,frígida
9135,seco templadamente
9144,neblina
9147,vienta
9150,norte templado.
9951,Vienta
10598,templadamente
10653,secos
11726,mareas
11955,aire
12249,tormentas
13891,tormenta
14027,mal sereno
14031,nublados
14033,truenos
14451,templadas
15268,fresco
15388,aguaceros
15621,frías
15856,tenplado
16304,PÈEQUIA
17580,llovediza
17914,llueva
17915,chauatl
17916,tierras de humedad
18020,tiempo de las aguas
18286,tiempo de invierno
18636,airosos
22798,ladera
22852,nevada
22853,calores
22854,soles
25247,humedades
29463,frio
30083,frigidísima
30087,malas aguas
31323,bochornos
31329,relámpagos
32398,maretas
32649,Llueve
32654,heladas
32971,tiempo seco
33666,nieves
35127,virazón
35735,hiela
36881,lluviosos
37210,enfermo
38318,tempestad
40082,aires tempestuosos
40368,nieva
40369,nevó
40371,nieve
41584,yela
41586,yelos
41587,hielan
41611,nevado
41612,nevaba
41621,nevar
41628,yelo
43094,templanza
43367,TEMPLE
43526,hielos
43810,temple frío
44265,pluvias
44337,helar
45256,climas
45257,temperamentos
45258,malos vapores
45269,temporal
45698,clima
45838,tierra muy cálida
45939,de pocas aguas
46053,tierra muy calidísima
46566,granizo
46617,ventar
46631,friolentos
46693,secano
50002,tempestades de aguas
51358,seca templadamente
54652,tiempos
55389,temperament
55412,levante
57239,viento levante
61629,estío
62469,temple cálido
62486,nieblas
64111,airosa
64114,sanísima
64373,sana
64618,tronar
64626,lloviese
65460,llovía
71228,pueblo cálido
75087,viento de levante
75683,comarca fría
75689,sereno
75729,sombra
78360,fria
79021,pocas aguas
79026,norte bravo
80894,buenos aires
81385,buen temple
81895,tierras frías
82529,frescos
82679,agua
83830,TEMPERAMENTO
85723,humedal
86154,vapores
86959,huracanes
86963,lluvia
88982,aguas de temporal
89526,buenos temporales
90362,remolinos
90737,diluvio
91274,vientos nortes
91435,húmedad
92307,cálidas
94872,lloviendo
96532,temperidad
97075,brisa
97076,tempestuoso
98221,aguas llovedizas
98230,vientos cálidos
98597,poniente
99288,aguasnieves
100525,estalaje
100830,oriente
101411,secas
101424,estéril
102479,rayo
103534,serenos
103858,tormentosa
104694,humedísima
104893,bajamar
109171,leste
110587,levantes
110628,vientan
110635,vientos boreales
110646,austros
110654,viento leste
110662,frescura
110664,vahajes
110665,vientecicos
110925,vapores calientes
110954,calina
111423,tormentosas
112360,llovedizas
117215,cliente
121403,calurosa
126479,nevadas
128068,templo
129805,torbellinos
129826,ventazos
130033,pluviosa
131324,caluroso
132582,surestes
136264,vientos fríos
136963,hierbas
139106,llueven
144137,vendaval
144142,tempestades
149919,destemplada
152080,inviernos
152081,veranos
