,Text
29,rosarios
53,tica
54,cascabel
55,quacuyol
60,cascabeles
307,vestidos
308,mantillas
309,mantas
563,ropa
565,cántaros
622,oro
658,seda
820,chalchihuites
853,teja
859,Materiales
861,vigas
862,tablas
863,morillos de pino
864,sabina
869,cal
871,ladrillos
876,mercadurías
883,hilado
887,mercedes
896,bastimentos
937,sepulcro
944,obra pía
968,caballerías de tierras
1008,haciendas
1208,pintura
1459,ídolos
1472,algodón
1476,hachas de cobre
1477,joyas de oro
1494,manta
1496,braguero
1499,papel
1501,naguas
1502,faldellín
1661,cañutos
1713,plata
1745,picos
1746,hachas
1752,paja
1756,tabiques
1770,cacao
1771,moneda
2263,libro
2266,flecha
2267,arco
2268,macanas
2317,camisa
2319,zaragüeles
2343,sombrero
2501,armas
2502,flechas
2503,arcos
2508,ídolo
2521,sangre
2551,rodelas
2553,varas
2554,navajas
2556,jubones
2558,cascos
2559,piedras azules
2560,vestido
2562,hilo
2569,camisas
2570,sarahueles
2715,lana
2899,oro en polvo
2903,fardos
2941,lanzas
2970,sombreros
2971,botas
2972,zapatos
2975,zarahueles
3080,vestir
3196,lienzo
3358,hábito
3361,alforjas
3369,vicios
3375,brea
3376,jarcia
3377,sobrecargas
3378,lazos
3379,redes
3456,calendario
3469,estatuas
3486,paño
3488,maxtli
3490,ianani
3499,espadas
3501,espada
3515,coseletes
3531,chamarras
3532,zaragüelles
3534,vestiduras
3536,aljubas
3550,insignias
3553,corona de espinas
3554,clavos
3738,copal
3739,incienso
3834,arcabuz
3895,bolsa
3909,piedra preciosa
3941,esmeraldas
4009,dineros
4264,hondas
4269,traje
4271,mastel
4278,guaipil
4281,zarahuelles
4534,pluma
4535,pinturas
4537,colores
4647,cueros
4650,plumas
4687,piedras
4689,ichcahuipiles
4700,guaipiles
5005,brasero
5086,plumería
5101,corazones
5117,camisones
5121,hachuelas
5122,dardos
5130,paños
5133,borlas
5140,sayos
5315,huipiles
5396,jabón
5409,pluma verde
5439,capas
5686,tejen
5687,red
5961,escauipiles
5968,güeipil
5978,capotes
5979,güeipiles
5981,faldellines
6151,bateas
6156,mesas
6157,cajas
6158,bancos
6161,soleras
6181,quillas
6184,mástiles
6185,timones
6193,zumo
6230,resina
6232,pelotas
6268,dinero
6362,vestuarios
6390,palo
6434,cera
6437,ollas
6439,tinajas
6440,vasos
6447,petates
6448,esteras
6469,silla
6648,rodela
6650,chimali
6652,quetzale
6654,collar
6741,chamarra
6745,ayate
6746,maxtle
6747,faja
6748,ayates
6751,calzones
6889,tintas
7172,figuras
7174,palos
7200,montantes
7204,vestían
7220,carne humana
7705,bocinas
7706,instrumentos
7952,guirnaldas
8044,tecomahaca
8056,sogas
8057,jáquimas
8377,almagre
8552,vestidura
8553,pañetes
8556,coronas
8590,sahumerio de copal
8608,petate
8609,vasijas
8654,jaquetas
8660,cañas
8661,otlatl
9187,güeypiles
9287,maxtles
9290,ventalles
9291,celadas
9292,brazaletes
9338,cuerpos
9340,varillas
9341,cuerpo
9344,carne
9347,pellejos
9360,atambor
9494,bandera
9548,copale
9600,porras
9604,armadura
9611,divisas
9624,divisa
9627,cutaras
9628,cactles
9913,jacal
10023,ventalle
10025,celada
10032,chalchihuite
10048,tuchumitl
10054,molcajetes
10127,tapias
10128,jacales
10517,carta
10561,presentes
11029,joyas
11036,ropas
11068,sahumerios
11072,aceite
11158,turca
11167,vestidas
11170,huipil
