,Text
346,mil quinientos y ochenta
351,mil y quinientos y ochenta y un años
383,mil y quinientos y setenta y nueve
447,1529
549,mil quinientos y veinte y nueve
1084,mil y quinientos y sesenta y ocho
1149,mil y quinientos y ochenta
1221,1580
2320,año de mil y quinientos y ochenta
3158,1579
3163,mil y quinientos y setenta y nueva años
4073,mil y quinientos y setenta y nueve años
4946,mil y quinientos y ochenta años
8520,3000 pasos
9039,1581
10168,mil y quinientos ochenta y un años
10272,1581 años
11980,mil y quinientos y treinta y cuatro
11982,mil quinientos y cuarenta y cuatro
13395,mil y quinientos y ochenta y dos
14074,mil y quinientos y veinte y dos
14758,mil y quinientos y setenta y siete
18950,33
18960,ciento y veinte y cuatro
22970,MDLXXX años
23458,mil quinientos y ochenta años
30853,mil y quinientos y ochenta y cuatro
31268,cincuenta
31403,ochenta y tres
31463,cuarenta y siete
31608,ochenta y cuatro
31876,1584
31889,mil e quinientos e ochenta y cuatro
31946,mil e quinientos e treinta
32072,treinta y dos
32533,1585
32536,mil y quinientos y ochenta y cinco
32556,mil y quinientos y sesenta y seis
32985,mil y quinientos y ochenta e cinco
33413,sesenta y seis
33414,sesenta y siete
35116,mil y quinientos y treinta y dos
36380,ludlxxxi
38124,setenta y siete
39498,mil y quinientos y setenta
39508,setenta y cinco
39882,mil y quinientos y cuarenta
39908,mil e quinientos y setenta y nueve
40370,setenta y nueve
40623,setenta y ocho
41376,1U.D.LXXIX
41440,mil y quinientos y cincuenta y seis
41551,mil y quinientos y setenta y uno
41710,sesenta
42210,setenta y uno
42219,sesenta y cuatro
42300,quinientos y cincuenta y nueve
42497,sesenta y dos
42721,mil y quinientos y sesenta y tres
43024,mil y quinientos y sesenta y dos
43191,mil y quinientos y sesenta y nueve
43342,quinientos y ochenta y cuatro
43677,1609
44520,seis días del mes de octubre de mil y quinientos y ochenta años
46307,septiembre deste año de mil y quinientos y setenta y nueve
49469,once de agosto deste presente año de mil y quinientos y setenta y nueve
49776,MDLXXX 1580
49792,dos días del mes de enero deste presente año de mil y quinientos y ochenta años
50717,1544
50718,1576
50803,1534
52736,mil y quinientos y treinta y nueve
53227,año de sesenta y tres
53291,año de diecinueve
54391,Navidad
55302,MDLXXX
56229,quince días del mes de octubre de mil y quinientos y setenta y nueve años
56682,veinte días del dicho mes de octubre del dicho año de mil y quinientos y setenta y nueve años
57437,doce días del mes de octubre del dicho año de setenta y nueve años
58367,ocho días del mes de noviembre del dicho año de mil y quinientos y setenta y nueve años
58723,doce días del mes de noviembre de mil y quinientos y setenta y nueve años
59018,dieciséis días del mes de noviembre de mil y quinientos y setenta y nueve años
59906,primero día del mes de diciembre de mil y quinientos y setenta y nueve años
60198,primero de diciembre de mil y quinientos y setenta y nueve años
60459,1577
60630,mil y quinientos y diez
61287,año de veinte y uno
61854,conejo uno
61855,caña dos
61856,pedernal tres
61857,casa cuatro
61858,conejo cinco
61859,caña seis
61860,pedernal siete
61861,casa ocho
61862,conejo nueve
61863,caña diez
61864,pedernal once
61865,casa doce
61866,conejo trece
61867,caña uno
61868,pedernal dos
61869,NENNONTEMI
61870,PANQUETZALITZTLI QUECHULI MICCA ILHUITL
61871,ATEMOLIZTLI HUÇI TOCOZTLI HUEY MICCA ILHUIT
61872,TITITL POPOCHTLI HUECHPANILIZTLI
61873,XOCHITOCA EÇATL QUALIZTLI PACHTLI
61874,XILOMALIZTLI TZINCOHUA HUEY PACHTLI
61875,TZAHIO HUEY TECUILHUITL QUECHULI
61876,ACATL OME XOCHITONAL MAZATL
61877,OCELOTZ TETECHI HUCAUH TOCHTLI
61878,CUIXTLI ECATL ATL
61879,TEOTL TONAL CALLI
61880,NAHUI OLLIN XILOTL IZCUIN
61881,TECPATL COATL OZOMA
61882,QUIYAHUITL TZONTECOMATL ITLAN
62173,CE TOCHTLI
63424,mil y quinientos y cincuenta y siete
66488,primero del mes de diciembre del año pasado de quinientos setenta y nueve años
72235,11 acatl
72239,1582
75639,veinte y seis días del mes de febrero de mil y quinientos y ochenta años
76249,veinte y seis de febrero de mil y quinientos y ochenta años
76270,primero de marzo de mil y quinientos y ochenta años
77081,veinte y dos días del mes de febrero de mil y quinientos y ochenta años
77490,veinte y tres días del mes de febrero de mil y quinientos y ochenta años
78899,1523
78909,23
78914,mil y quinientos y ochen­ta
79016,mil y quinientos y veintitrés
85376,CUENTA
88531,mil y quinientos y ochenta y dos años
89701,DEL CONEJO
89702,DE LA CAÑA
89703,DEL PEDERNAL
89704,DE LA CASA
89705,CONEJO
89706,CASA
89707,CAÑA
89708,del PEDERNAL
89733,QUENYA
89734,ZANA
89735,MAPA
93605,Udlxxix
94120,setenticuatro
94121,ochenta
95137,1.5.7.3.- 88
95171,mill e quinientos y cinquenta y un
97034,1570
98215,mil y ciento y ochenta
98582,mil y doscientos años
101144,año ce tecpatl
101146,año del pedernal
101148,ce tecpatl
101149,ome calli
101150,yey tochtli
101151,nahui acatl
101152,un pedernal
101153,dos casas
101154,tres conejos
101155,cuatro cañas
101244,año de mil y quinientos y veinte
101246,ce acatl xihuitl
101247,año uno de la caña
104446,diecinueve
106601,quinientos y diez y seis
106611,mil y quinientos y veinte y uno
106816,año de ochenta y uno
107038,veinte
109141,1519
109218,1540
111645,1578
111711,mil y qui(nient)os y ochenta y dos
112350,mil y quinientos y ochenta y un
112402,mil y quinientos y sesenta
114058,mil y quinientos y setenta y seis
115586,setenta y seis
115630,mil y quinientos y cuarenta y uno
118346,mil quinientos y setenta y seis
119874,mil y quinientos y cuarenta y seis
121148,setenta y séis
121228,mil y quinientos y cuarenta y dos
121232,mil y quinientos y cuarenta y tres
121307,mil y quinientos y cuarenta y cuatro
121341,mil y quinientos y cuarenta y cinco
122771,mil quinientos y ochenta y un
122896,cuarenta y uno
123421,mil y quinientos y 17
123662,año de setenta y uno
124239,mil y quinientos y veinte y
127380,mil quinientos y cuarenta v cuatro
127725,mil y quinientos y ochenta y uno
128401,julio del año de cuarenta y dos
128589,mil y quinientos y cuarenta y nueve
128828,mil y quinientos y cuarenta y nueve años
128890,hanega
129358,mil y quinientos y veintiocho
131110,mil y quinientos y cincuenta [y] dos
131117,mil y quinientos y setenta y cinco
131275,míl y quinientos y setenta y nueve
131613,mil y quinientos y veinte y nueve años
132027,veinte y siete
132034,cuarenta
133230,1554
134308,1566
135857,mil y quinientos y
135986,mil y quinientos y veinte y ocho
137360,mil quinientos y cincuenta y dos
138944,mil quinientos Ochenta y cinco
139830,mil quinientos cuarenta y uno
140291,mil quinientos ochenta y cinco
140311,mil quinientos y ochenta y cinco
143747,mil quinientos setenta y un años
143777,1575
143784,1572
143785,1573
144043,1574
145250,1561
147689,año de setenta y cuatro
147854,cuarenta y ocho
147872,1551
147921,cincuenta y cinco
147937,cincuenta y seis
148062,1559
148063,1564
148289,1549
148290,1553
148379,cincuenta y siete
150403,setenta y cuatro
150440,1589
150465,cincuenta y dos
150901,1560
