,Text
3,mixtecas
44,indios
74,india
75,Zapoteca
80,naturales
310,gitanos
327,indio
333,Zapotecas
436,españoles
488,mexicanos
489,zapotecas
491,naborias
528,indios mexicanos
1500,indias
1966,mexicano
1982,mixteca
2145,zapoteca
2896,mixtecos
3217,naciones
3222,mixes
3223,nación
3224,chontales
3357,chontal
3435,mantenimiento
3537,moriscas
3539,morisco
3695,español
5480,griegas
6207,españolas
6310,naturales tortillas
6755,castellano
7467,mixteco
10544,española
11099,mexicana
11562,natural
13726,acatecas
13742,zapotecos
13744,huehuetecos
13804,yopis
14430,naturaless
14674,zapoteco
16472,chichimecas
17630,Chontales
19013,indios naborias
19254,negros
19813,indios viejos
21971,mexicanos indios
23204,vino
27703,quiotecas
28127,indios zapotecas
28129,indios mixtecos
29706,mijes
31121,chichimecos
31149,indios naturales
31466,portugués
31517,indios chichimecos
31574,tesoles
32084,indios tecosquines
32118,tecosquines
32158,coronados
32740,gente natural
32745,guachichiles
32766,gente guachichila
32794,nación guachichila
32803,zacatecos
32813,indios guachichiles
32816,zacateca
32909,zacatecas
33249,tarascos
33250,tecuexes
33845,chichimeca
33937,griego
34515,caxcanes
34675,indios chichimecas
34913,tarascones
34935,INDIAS
35510,cucharetes
36648,cazcanes
36649,totonaques
41446,vascongados
41470,indios zacatecos
42491,extranjeros
42699,mestizos
43020,NEGROS
44112,nación suchimilca
44184,nación mexicana
44201,suchimilca
44792,indio cacique
45313,cuixcas
45649,matlaltzingas
45918,cuixcos
46041,cuixca
46552,culhuas
46553,mexitis
46993,otomíes
49593,ladino
49728,españoles mineros
50743,mazatecas
51128,huecas
51718,mestizo
51791,matalcingas
51843,matalcingos
52286,tepanecas
56315,tuzteca
56733,mazatecos
57573,indios principales
58434,tepehuas
58784,tepuztecas
59090,cuitlatecos
59425,indios tributarios
62045,huastecos
62110,meztitlanecas
63476,cempoaltecas
63482,tultecas
63485,otomites
63541,colhuaques
64042,cuextecas
64045,cuexteca
65513,tlaxcaltecas
66805,indios gobernadores
69770,chichimeco
72379,alárabes
72386,culhuaque
72412,aculhuaque
72494,chalcas
72874,mexica
73172,huexutzincas
73906,tlaxcalteca
73907,huexotzinca
73967,huexultzincas
74000,tezcucanos
74111,huexotzincas
74777,espa­ñoles
75670,chichimecas antiguos
78992,gente mexicana
81713,TARASQUE
81760,Chichimecas
82853,españles
83311,ladinos
83367,Zacatecas
84128,INDIOS
84688,NATURALES
85362,MEXICANOS
85862,quaucomecas
87496,epatecos
87988,colotecas
88263,indios jiotes
88264,jiotes
88522,otomís
88527,Tarascos
88620,otomies
88791,otomí
89040,turcos
89099,nación otomite
89169,mulatos
89412,indios otomíes
89538,moras
89653,mexicanas
90496,cuitlatecas
92472,totonaque
93041,purepechas
93197,gitanas
93899,mataltzingos
95157,yndios
95376,pamis
95394,vamares
95400,tarascas
95404,vachichiles
95459,cristiano
95463,hebreo
95503,moros
95505,cristianos
95512,vagares
95737,negro
95777,apanecas
96174,matalsingos
98370,totonacas
99794,nación totonaca
102889,bellotas
102897,indianos
106581,indios totonaques
106655,tochos
111104,cocos
111159,bastimento
113742,xooles
113743,xoles
113744,moes
113745,coyies
113746,coyes
113750,Cheles
114060,indio natural
114205,indios ídolos
115685,copules
115686,cupul
118068,ahyzaes
118069,ahitza
118080,joles
118615,zoques
118663,naguatatos
118880,Cimatanes
119886,indias naborios
121789,chikincheles
122514,franceses
122591,naborios
123169,Xiuos
123170,Xiu
124232,tabascanos
126313,gitana
126688,mestizas
126925,naturalres
126952,Navates
126953,Nahuates
126954,Chulimes
126955,lbanes
126956,Euanes
126957,Chinabes
126958,Chunabes
127024,Cocomes
127025,Tutulxiues
130344,mayas
131793,chiquincheles
131794,chikinchel
133272,extranjero
133864,Kekes
133865,Tzakes
135540,zoles
136463,gente extranjera
136513,romanos
139253,achíes
139254,uhtlatecas
140018,indias naturales
144105,Ah Itza
145451,castellanos
145488,lacandones
145490,puchutecas
146423,Indias
146777,pipiles
147268,indios pipiles
147885,flamenco
148151,Indios
149402,negras
149455,Españoles
150771,indezuelos
151347,Izquipulas
151649,Cuilco
151650,Tuzantlán
153246,otatecas
