,Text
18,quacuyoles
20,fruta
21,coquillos
131,hortaliza
133,ají
134,frijol
135,maíz
136,frutas
314,tortillejas
317,Legumbres
320,calabaza
332,mixtecos
482,frutos
483,mantenimientos
578,trigos
579,maíces
587,yerba
640,dátiles
679,quauhxonecuiles
681,semillas
682,granos
685,garbanzos
686,habas
687,lentejas
688,arvejas
689,altramuces
690,mostaza
691,adormideras
692,linaza
693,legumbres
695,coles
696,lechugas
697,rábanos
698,nabos
699,cebolla
700,espárragos
701,cardos
702,culantro
703,perejil
704,hierbabuena
705,acelgas
706,melones
707,pepinos
708,cohombros
709,zanahoria
712,yerbas
716,chía
718,tomate
720,salsa
721,condimento
722,trigo
723,cebada
724,vino
725,aceite
727,viñas
728,olivares
729,parra
730,olivo
731,nopales
732,tunas
840,sal
882,cacao
893,pan
898,frijoles
1505,calabazas
1506,yuca
1608,fruto
1609,mameyes
1610,xicozapotes
1611,peruetanos
1612,aguacates
1614,cuaxilotes
1617,cuaxinequiles
1618,algarrobas
1620,zapotes
1621,erizos
1622,plantanos
1624,piñas
1628,avellanas
1629,paqui
1630,pitahayas
1632,uvas
1634,ciruelas
1642,chile
1643,tomates
1645,batatas
1646,yucas
2571,bastimentos
2574,raíces
2577,carne
2578,tortillas
2580,comidas
2627,peras carmeñas
2629,miel
2630,vinagre
2643,membrillos
2688,sustento
2947,yerbas del campo
3009,guayabas
3010,peras cermeñas
3013,brevas
3016,albaricoques
3031,higos
3040,chayotes
3043,grana
3045,moreras
3284,caña
3289,azúcar
3607,mazorca
3626,bebida
3724,algarroba
3725,grano
3726,altramuz
3758,nueces
3759,castañas
3772,verdura
3773,ajos
3774,cebollas
3806,mastuerzo
3808,yerbabuena
4288,comida
4306,brebaje
4314,zumo
4376,aguas
4720,cazas
4727,carnes
4783,duraznos
5010,cerezas
5093,chian
5172,huertecillas
5174,plátanos
5209,limones
5212,zapotes negros
5213,zapotes silvestres
5215,anonas
5220,frutillas
5225,granadas
5227,manzanas
5228,naranjas
5229,limas
5231,cidras
5232,cañafístola
5234,cañas dulces
5404,mazorcas
5518,pepitas
5874,tortilla
5876,resina
5878,ulli
5985,camotes
5986,guaucamote
5989,cazabe
5990,puscuaucamote
6007,jocopozole
6009,mamey
6021,quesos
6024,biscocho
6025,tocino
6036,hobos
6038,vinos
6187,zapote
6191,membrillo
6203,durazno
6216,bellota
6222,cocoyoles
6236,manzanillas
6255,picholes
6257,zarzales
6274,chicozapote
6281,lima
6292,sidras
6300,pimientos
6305,cuaucamotl
6308,puscuaucamotl
6690,chichicaztli
6760,guacamotes
6811,chiquizapotes
6812,cuauhzapotes
6813,tilzapotes
7049,guindas
7051,capulies
7218,harina
7264,Semillas
7425,jocotes
7483,mantenimiento
7791,semilla
7792,pepitas de calabaza
8040,ciruelos
8041,guaxoniquiles
8313,peras
8316,granados
8329,sustentan
8533,quauxilotl
8550,guaypiles
8610,pulque
8723,carnero
8801,tzapotl
8873,verduras
9403,banquete
9654,pinole
10053,tamales
10118,huauhtli
10662,chicozapotes
11230,vaca
11239,viandas
11263,brebajes
11271,pinol
11272,miel del maguey
11274,bebidas
11468,pimienta
11469,garbanzo
11944,agua
11972,mantenimentos
12182,hortalizas
12715,potajes
12978,quilites
12994,almendras
13003,aguamiel
13020,octli
13028,quezaachaa
13030,chia
13156,Maíz
13176,lechuga
13183,Trigo
13837,vino de la tierra
14352,carne humana
14359,hierbas
14652,pepino
14948,armuelles
15304,bledos
15305,verdolagas
15311,chichicpatli
15570,bollos
16314,cañas
16364,milpillas
16734,castañuelas
17060,nísperos
17515,tostado
17553,pozole
17554,masa
17608,chille
17834,chiles
17851,pozol
18297,niéspolas
18315,guamuchiles
18522,huertas
18571,totopochtles
18573,tostadas
18577,molido
19146,pepita
19160,lenteja
19181,frutilla
19182,piñones
19185,dátil
19200,raíz
19207,granito
19208,alpiste
19246,huevos
19945,bastimento
19948,biscochada
19956,tuna
20061,cerezas de la tierra
20073,rábano
20079,hinojo
20080,orégano
20366,hojas de tuna
20371,caza
21185,maizales
21201,laza
21204,acederas
21205,nocuana pee
21206,Hortaliza
21207,ajo
21213,Vino
21235,pollos
21394,aprovechamientos
21712,hunitza
21727,pera
21728,albaricoque
21735,aceitunas
21736,moras
21738,cereza
21759,nabo
21761,berenjenas
21814,ají seco
22273,frutales
22301,chicos
22304,zapotes colorados
22791,arvejones
23196,manteca
23702,sustentábanse
24517,comían
24712,yucunuhu
24714,tlapatli
25294,ñami
25885,toronjas
26874,vainas
26875,cuauhxinicuiles
26925,leche
27013,varillas
27531,venados
28453,pulcre
28688,piña
28941,arrope
28948,conserva
28951,mixcal
30584,atole
31255,XOCOTL
31533,huevo
31535,aceitunaverde
31537,aceituna
31538,AVACATL
31677,CAPULÍES
31678,guayabos
31683,cermeña
31688,XALXOCOTL
31694,CHIA
31712,CAMOTES
31718,sandías
32188,haba
32241,naranjos
32261,almendra
32456,refresco
32759,TUNAS
32760,MEZQUITE
32762,TUNA
33133,mezquite
33476,capolíes
33499,lantejas
34641,milpas
34878,pescado
36041,ECAUTLI
36043,granos de mostaza
36620,Beben
36621,vino de maguey
36624,comer
37075,TAMALLI
37078,CACALOTL
37079,IZQITL
37083,cebolletas
37084,HUAXIN
37112,Bebían
37118,mezquites
37123,HUAMUSTLES
37137,atoles
37154,beben
37441,HUAMUSTLI
37457,camuesas
37459,uva
37469,anís
38024,AYUTLI
38053,fri joles
38054,EXUTL
38272,ciruela
38279,lanteja
38284,corteza
38310,panes
38313,hollejo
38333,natas
38338,tecoma
38344,naranjo
38351,hueso
38357,CHILE
38359,turrón
38365,limón ceutí
38366,granada
38372,guayaba
38394,vaina
38423,Granadas
38433,millo
38440,MILTOMATES
38441,XITOMATES
38476,pimpollos
38759,PULQUE
