,Text
113,detrimento
114,salud
408,enferma
460,catarro
461,enfermedades
739,yerbas
740,plantas medicinales
741,aromáticas
745,yerbas venenosas
746,yerba
750,coaxoxohuic
751,tlapatl
753,sanan
754,tullidas
755,curar
760,agua purgativa
761,expele
762,malos humores
763,frialdades
764,agua
765,tullidos
769,purgativas
827,venenosas
828,peligrosas
1052,curan
1273,enfermedad
1274,viruelas
1275,sarampión
1523,tierra sana
1524,hidropesía
1525,remedio
1528,mimizpatli
1658,polvo
1663,humo
1664,asma
1665,pechuguera
1666,romadizo
1668,flemas
1669,reumas
1670,mitiga
1671,dolores
1672,bubas
1675,mimizptle
1677,púrganse
1678,leche
1680,manzanillas
1681,purgan
1683,zezequipatle
1688,varas
1690,suchimecatle
1691,mal de ojos
1692,zumo
2062,medicina
2068,curas
2075,medicinas
2270,sana
2516,picietl
2517,medicinal
2597,calenturas
2601,sangrarse
2657,raíces
2664,tabaco
2666,hinchazones
2667,aventamiento
2995,yerbas medicinales
2998,sangran
3049,curarse
3555,llagas
3558,sanidad
3560,enfermos
3564,pestilencia
3589,remedios
3594,TICITL
3605,yolopatli
3606,olotl
3612,patli
3617,dolor de muelas
3618,purga
3619,purgaciones
3623,sudar sangre
3624,echar sangre
3632,mordedura
3734,guaxi
3745,raíz
4318,sanos
4335,tos
4336,cámaras de sangre
4348,Cúranse
4731,cocoliztle
4747,romadizos
4749,cámaras
4753,huesos de leones
4814,chichicpatl
4815,medicina amarga
4822,yolosuchil
4823,enfermedades de calor
5159,postemas
5464,enfermo
5469,empeines
5472,bebedizos
6099,enfermen
6101,tose
6103,dolor de costado
6107,curaba
6111,enfermaban
6118,puquiete
6130,bañan
6318,cura
6764,fríos
6855,mal de cámaras
6856,cuchilladas
6858,ponzoña
7028,sano
7057,pestilencias
7229,cúranse
7494,sangre por la orina
7754,malsano
7759,sangre echan por la orina
7763,xiupatle
7766,remedian
8067,árbol medicinal
8068,purgar
8071,cacalotlsuchil
8560,xihuitototl
8791,tercianas
8793,sangrías
8794,zumo de maguey
8799,chichicpatli
8892,yerbas aromáticas
8899,dolor de estómago
8906,coanattete
8911,apitzalpatli
8921,calentura
9681,tabardete
9833,cure
9881,cocoliztli
10084,cuartanas
10200,cocoliztlis
10700,mortandades pestilencias
11303,pechugueras
11308,hoja
11321,curaban
11322,purgaban
11326,pitzahuat
12116,pujamiento de sangre
12117,hipatos
12118,sarnosos
12130,sangría
12131,vómitos
12602,remediase
12747,enfermaba
13085,dolor de cabeza
13087,mal de madre
13089,temazcales
13091,males
13198,cuanaya
13200,xuxucpatle
13206,cuanalaa
13208,chichicpatle
13212,quebradura de brazo
13215,quebradura
13218,soldará
13220,quianere
13222,puztecpatli
13233,penca del maguey
13236,heridas
13238,mordeduras
