,Text
358,corregimiento
381,Audiencia
499,Audiencia Real
574,SANTO DOMINGO
889,corregimientos
923,iglesia
925,capellanías
952,Santísimo Sacramento
957,orden del señor Santo Domingo
982,Compañía del nombre de Jesús
1001,Compañía
1019,parroquia
1027,capellanía
1040,cofradía
1082,Santo Domingo
1120,Soledad de Nuestra Señora
1353,Corona Real
1354,encomendados
1808,Santa Vera Cruz
2034,orden de nuestro padre Santo Domingo
2383,Corregimiento
2465,encomendado
2737,santa fe católica
2739,orden de señor Santo Domingo
3345,Real obediencia
3397,encomienda
4019,orden de Santo Domingo
4163,Cancillería Real
4981,Real Corona
6586,Real Audiencia
7014,REAL CORONA
7362,ENCOMENDADO
7633,ecomienda
8019,reino
9121,juzgado
9311,encomiendas
9793,orden del señor San Francisco
10501,juzgado mayor
10809,Real Audiencia de México
10988,real corona
11332,reinos
12752,cacicazgo
14226,orden del señor de Santo Domingo
14612,encomendada
15175,encomendó
16258,estancias
16966,república
17173,ayuntamiento
17191,universal iglesia
17227,beneficio
18975,orden de San Agustín
18996,hábito de Santiago
19440,Real Justicia
21292,orden de los Predicadores
21845,dominicos
22409,Arzobispado de México
22418,Consejo de las Indias
22483,Real Consejo de las Indias
22486,audiencia
23073,orden de señor santo Domingo
27121,agustino
27717,San Francisco
27720,franciscanos
27730,francisco
29096,diócesis
30030,estado
31022,gobierno
31202,silla catedral
31208,catedral
31210,real Audiencia
31299,ORDEN DE SAN FRANCISCO
31375,Cancillería
31491,SAN FRANCISCO
31817,obispado
31903,real Cancillería
31924,Gobernación
31926,silla obispal
32009,justicia
32075,Audiencia real
32359,iglesia parroquial
33561,silla
34324,ejército
34467,Consejo
34994,obispado de la Galicia
35059,Cancillería real
35366,Corona real
35471,real Corona
36047,santa madre Iglesia
36394,oficio
37661,real Caja
37677,orden
38621,FRANCISCOS
38632,guardianía
38635,guardianías
38701,AGUSTINOS
39520,FRANCISCANOS
39921,Audiencia de México
41012,real Audiencia de México
41355,señor SAN FRANClSCO
41459,santa iglesia
41745,real Hacienda
41806,justicias
42054,ORDEN DEL SEÑOR SAN FRANCISCO
42161,COFRADÍAS
42173,COFRADÍA DE LA SANTA VERACRUZ
42177,COFRADÍA DE LA SOLEDAD DE NUESTRA SEÑORA
42178,cofradías
42182,SEÑOR SAN FRANCISCO
42342,hacienda
42389,COFRADÍA
42738,gobernación
42745,Hacienda
42946,obispado de la Nueva Galicia
43029,Cámara
43339,Iglesia
43447,señorío
43687,real Patronazgo
44120,DOMINICOS
44229,concejo de México
44572,ORDEN DE SEÑOR SAN FRANCISCO
45225,Iglesia Romana
45232,clero
45242,consejos
45244,cancillerías
46323,Real Hacienda
51644,COFRADÍA DE DISCIPLINANTES
51700,Obispado de México
52041,real Alcabala
52719,ORDEN DE SAN AGUSTÍN
52760,Santo Oficio de Inquisición
53924,corona Real
53939,Alcabala
55937,franciscos
60753,frailes franciscos
60762,frailes agustinos
60921,agustinos
61091,ORDEN DEL SEÑOR SANTO AGUSTÍN
61974,ORDEN DE SANTO AGUSTÍN
63756,arzobispado de México
64240,arzobispado de Mexico
65191,fisco Real
66003,Real Fisco
67331,orden de señor San Francisco
69430,orden del señor San Agustín
69451,CORONA REAL
70881,real justicia
71367,Santiago
71907,orden de San Francisco
73282,corte
73516,audiencia real
73536,concejo
73670,tequihuacacali
73783,concejos
74436,santa Inquisición
77637,sAN FRANCISCO
78939,regimiento
78954,cabildo
81947,COMPAÑÍA DEL NOMBRE DE JESÚS
81952,Limpia Concepción de nuestra Señora
83209,real Justicia
83498,Silla
83511,Corte
85253,juz­gado
87252,linaje
88067,ORDEN DE SEÑOR SANTO FRANClSCO
88576,Orden de Santiago
89105,santo Evangelio
89204,SAN AGUSTIN
89232,cristiana
93574,FRANCISCO
95055,Orden
95184,audiencia Real de méxico
95315,orden del señor san Agustín
96433,SAN AGUSTÍN
96581,cristianos
97979,ORDEN DEL SEÑOR SAN AGUSTÍN
99873,orden del señor de San Francisco
100275,cirregimiento
102333,imperio
102334,civil
102335,criminal
111365,Compañía de Jesús
111951,orden de Santiago
112326,Obispado de Tlaxcala
112343,renta de la Alcabala
112486,obispado de Tlaxcala
112598,religiosos de Santo Domingo
112884,San Agustín
114073,Gobernación de Yucatán
115068,Ayuntamiento
116421,Justicia Mayor
116422,Ordinaria
117077,señor San Francisco
117398,Cabildo
117880,orden del Señor San Francisco
118371,Concejo
118372,Regimiento
118383,Concejos
118411,fisco
118624,real Consejo de las Indias
118843,Audiencia de Guatemala
120277,Justicia
122623,corona real
122748,ilustre Cabildo
123312,arzobispal
124817,Alcaldía Mayor
126184,Santa Madre Iglesia
127685,beneficios
131122,hermandad
131130,Juzgado Mayor
131215,Audiencias
132483,Real Consejo de Indias
133792,Obispado
137702,ilustre Ayuntamiento
138903,Obispado de Yucatán
138973,Juzgado
139761,Concilio
140227,prebendas
141358,orden del señor San Jerónimo
141373,prebenda
141418,señor San. Francisco
142316,orden de San Jerónimo
143241,orden de señor San Jerónimo
143468,instancias
143965,mayorazgo
148094,Real
148095,Corona
148818,curato
150956,Consejo Real
151529,encomen dado
151736,enco mendado
151767,Nuestra Señora de la Merced
