,Text
15,lengua mexicana
36,mexicano
46,lengua
83,lengua mixteca
85,mixteca
1284,lenguas
1462,mexicano corrupto
1463,popolucas
1464,mixtecos
1465,zapotecas
1961,zapoteca
2004,lengua zapoteca
2480,español
2608,castellana
2815,lengua española
2816,mexicana
3220,lengua zachila
3227,castellano
3421,lengua chontal
3423,lengua mixe
4214,cuicateca
5000,lengua castellana
5825,chinanteca
6490,Lengua
7677,española
7921,lengua cuicateca
8580,lengua zapoteca Bezaloo
8583,lengua zapoteca picana
8707,lengua quelites
9197,lengua mazateca
9274,matzateca
9839,lengua matzateca
10771,lengua guazonteca
10780,lenguas mixteca
10786,lenguas mixe
10791,chontal
11984,legua mixteca
12510,zapoteco
13437,amusga
13444,lengua amusga
13451,lengua ayacasteca
13472,lengua huehueteca
13491,lengua cinteca
13493,tlapaneco
13498,lengua tlapaneca
13577,lengua quahuteca
14263,chochona
17419,corrupta
17420,disfrazada
17710,corrompida
21708,mixteco
21958,lengua natural
22044,lengua corrupta
22471,lenguas mexicana
22472,matlatzinca
22614,lenguajes
22700,lenguaje castellano
23051,lengua Luguiaga
24959,amuchca
27666,lengua quiotla
27874,pinoles
27882,lengua pinoles
29978,lenguas española
30949,cazcana
31366,lenguaje
31527,lengua coana
32000,vulgar
32016,tecoxquin
34501,lenguas caxcana
34507,lengua caxcana
34593,caxcana
35164,cucharetes
35165,mazatecos
35166,iztecos
35167,jocotecos
35168,melagueses
35169,tomatecos
35170,cuacumanes
35797,mejicana
36417,lengua cazcan
36640,cazcan
36646,totonac
38672,coca
40095,otomita
40166,IXPOPOYUTLA
40179,XOQUILIL
42469,lengua zacateca
43399,intérprete
43922,otomí
44183,NAHUATLATOLLI
46545,chichimeca
49487,lengua otomí
49592,otomite
49973,lengua tepuzteca
50028,tranquilidad
50041,Tepuzteca
50842,lengua mexicana Tenango
50876,lengua mexicana Acuitlapan
52846,popoluca
54175,gentilidad
55368,lengua de indios
56313,Tuzteca
56735,mazateca
58433,tepehua
58436,tepuzteca
58559,Tlamimilolpan
59089,lengua cuitlateca
59984,ixcuca
59986,chonta
63910,lengua chichimeca
63915,lengua otomita
64593,legua mexicana
64819,lengua metlalzahuatl
66580,matalcinga
66741,mataltzinga
66748,lengua mataltzinga
66752,lengua mazahua
66978,lengua AXOCOTL
67338,lengua otomite
68587,tarasca
68634,lengua tarasca
68642,mazahua
69081,lengua otomi
72396,chichimeco
72418,acolhuacatlatoli
77675,lenguas naturales
77676,tiam
77677,cochin
77724,su lengua
77936,mechoacana
77937,zayulteca
77939,nahual
78265,tamazulteca
78700,cuitlateca
78707,tepuz
78709,panteca
78712,tolimeca
78716,mexicana corrupta
78752,chunbia
78772,Chacala
79401,lengua mexicana corrupta
80090,tarasco
80213,lengua zayulteca
81705,latina
84156,Mechuacan
84373,legua
85358,otomíes
85378,lengua materna
85613,lengua mexi­cana
88829,lenguas otomí
90689,latarasca
90761,lengua tarasco
91704,totonaca
91826,lengua totonaque
92106,totonaque
93022,PUREPECHA
93063,lengua ACANBA
93876,TZINTZUNTZA NABU VANDAUA
93879,TZINTZUNTZA NADO VANDAUA
94126,intérpretes
94200,CHICHIMECA
94203,CHICHIMECATL
94207,CUCHA
94233,TIRE Pino
95369,CHICHI
95370,MECATL
97483,lenguas tarasca
98265,lengua totonaca
101662,popolucan
106661,lengua totonaques
107386,totonaques
108470,indio
108794,rústica
111852,mexicana villana
111856,tuztecas
111858,matlatzinga
111860,habla
113650,maya
118089,lengua maya
118090,materna
120373,mayathan
120374,mayat'an
123443,lengua yucateca
127211,la materna
127842,romance
127853,mayatan
127854,maya t'an
134419,meyathan
136678,isleño
139250,zotohil
140617,pipil
141667,lengua achí
141668,guatemalteca
141669,uhtlateca
141671,vocablos
144928,3a3chi
144936,pocomchi
146588,chiapaneca
146589,zoque
146591,zotzil
146592,zeldal
146593,quelén
146597,uhtla teca
146600,mame
146601,achí
146602,cuauhtemalteca
146603,chicnauteca
146604,utateca
146605,chirrichota
146612,poconchí
146613,cacchí
146614,colchi
146622,hacaccuastleca
146623,apay
146625,pocón
146626,taulepa
146627,ulúa
146629,mangue
146638,marivio
146639,potón
146773,populoca
152268,lengua de Indias
