,Text
0,Cuilapa
1,SUJETOS
4,Nueva España
7,Nuevo Orbe de la Indias
11,pueblo
13,Oaxaca
16,Cuyolapan
17,valle
25,Castilla
47,Yuchaca
51,yucha
52,río
56,yuchatica
67,Zapoteca
81,Mixteca
82,Mixteca Baja
87,pueblos
88,mixteca
89,Almoloyas
90,áspera
91,fragosa
97,Teozapotlan
104,Sayucu
105,cerro
132,España
141,Cuyolapa
142,ciudad de Antequera
143,Oaxacac
145,ladera
147,cordillera
148,sierras
149,montes
162,arroyo
167,estanzuelas
168,Xoxocotlan
171,ñuhuyoho
176,Chapultepec
178,Yuchayta
186,ciudad
188,ciudad de Oaxaca
189,estancias
190,Ozumba
193,Dzinimini
200,poblezuelo
203,ñuhuhuyyo
210,estancia
212,Güeyapan
214,Yuchacano
219,ciudad de Oaxacac
224,garganta de agua
229,Tonaltepec
231,Yucutinana
239,monte
246,Yucuqua
251,Ydzuqini
259,sierra
261,pueblecillo
263,Cosichi
265,Xuchitepec
274,ñuundizi
290,llano
291,llanadas
297,barrancos
299,abarrancado
301,desparramados
331,Teguantepec
334,valles
335,Guaxaca
359,villas
360,estado del Marqués
366,villa de Cuilapa
367,villa
373,CIUDAD DE ANTEQUERA
374,VALLE DE GUAXACA
377,Antequera
378,valle de Guaxaca
394,ciudades
400,costa
401,Tututepec
403,Segura de la Frontera
434,ciudad de México
453,aguas
469,llana
474,Hecatepec
475,ríos
476,fuentes
480,términos
505,ciudad de Puebla de los Angeles
514,Villa de San Ildefonso
515,Villa de Santiago de Nixapa
520,Puerto de Guatulco
534,México
537,villa de Guaxaca
559,Atoyac
571,ciénaga
582,agua
607,fuente
663,Perú
807,arroyos
839,valle de Tlaculula
843,costa de Tututepec
867,Tecuicuilco
911,partidos
914,obispado
948,réditos
1023,Xalatlauhco
1194,PROVINCIA
1195,COATZACUALCO
1196,VILLA DEL ESPÍRITU SANTO
1197,Obispado
1200,Coatzacualco
1201,Villa del Espíritu Santo
1205,provincia
1210,provincias
1215,comarcas
1241,población
1247,despobladas
1262,montuosa
1265,agua abundosas
1292,Villa
1293,Tabasco
1296,playa
1297,Villa de Tuxtla
1302,Villa de Tecuantepeque
1303,Mar del Sur
1308,ciénagas
1336,tierra baja
1338,lagunas
1341,San Martín
1342,pedregosos
1352,cabeceras
1364,Chiapa
1365,Tecuantepeque
1368,Tuxtla
1390,Huitlan
1391,Ataco
1392,Ixhuatlan
1393,Cenpoala
1394,Olihuacan
1395,Milpantzingo
1396,Tonalá
1397,Gozaliacaque
1398,Ocoapa
1399,Ixtitlan
1400,Pechucalco
1401,Tecuaminhuacan
1402,Apazapa
1403,Tapancoapa
1404,Chiquihuacan
1405,Caxhuacan
1406,San Pedro
1407,Cuixtatan
1408,Chininiapa
1409,Suchititlan
1410,Acalapa
1411,Milhuacan
1412,Taquilapa
1413,Puscatlan
1414,Tatacuitalpa
1415,Citlalapa
1416,Teocalco
1417,Oteapa
1418,Huastepeque
1419,Quezaltepeque
1420,Quezalapa
1421,Xoteapa
1422,Ocotlan
1423,Ocelotepeque
1424,Tenantitlan
1425,Chacalhuacan
1426,Guachapa
1427,Zapotlanzingo
1428,Mixtlan
1429,Chinameca
1430,Tilzapoapa
1431,Miautlan
1432,Tlapalan
1433,Monzapa
1434,Ocaltiba
1435,Chacalapa
1436,Teticpac
1437,Olutla
1438,Tecistepeque
1439,Mazatlan
1440,Zayoltepeque
1441,Acayuca
1442,Zolcuatla
1443,Iztacchacalapa
1444,Soconusco
1445,Aguataco
1446,Oztapa
1447,Quila
1448,Mulapa
1450,Macayapa
1451,Oztuacan
1452,Chicuytlan
1453,Mechuacan
1454,San Francisco Minzapa
1455,Santiago Minzapa
1456,Zapotitlan
1457,Cuazontlan
1515,Cuitlaxcolapa
1518,ciénegas
1531,Sierras
1532,Minzapa
1534,mar
1541,Mar del Norte
1552,Río de San Antón
1555,El Agualulco
1556,La Rambla
1558,Tonala
1566,Yagualulcos
1568,bajío
1569,islas
1580,volcanes
1581,serranías
1735,cerros
1736,manantial
1743,prados
1786,diócesis
1787,obispado de Guaxaca
1828,Campeche
1834,bahía
1838,Río de Coatzacualco
1839,Río de Tonala
1840,Agualulco
1841,laguna
1845,Río de Sevilla
1850,banco
1870,Sierras de Chiapa
1905,Sierras de San Martín
1906,Río de El Agualulco
1925,sitios
1932,Utatepeque
1934,Teguantepeque
1945,boca del río
1951,TEOZAPOTLAN
1954,Obispado de Guaxaca
1958,ZAPOTECA
1962,Zachilla
1969,Zapotlan
1971,Zapotecatl
1988,Yangüitlan
2000,zapoteca
2017,ciénega
2021,cabecera
2038,Río
2047,Tani Quiazi
2049,Cozauhtepec
2063,quebradas
2082,Queta Teni
2084,Istepetlapan
2086,San Agustín
2088,Looquiti
2090,Quauhtengo
2092,San Luis
2094,Lachi Quego
2096,Xuxucuyotltengo
2098,San Felipe
2103,Xihui
2105,Ixtlahuacan
2107,San Andrés
2110,Quiane
2119,Santa Catarina
2122,Zoba Yoo
2124,Teteltitlan
2126,San Lucas
2133,Ticalana
2135,Tlecaxtongo
2146,Quego Lato
2148,Atengo
2150,Santa Lucía
2157,Quelalao
2159,Tlaxumulco
2161,Santa Cecilia
2173,Cimatlan
2174,Cuyotepec
2191,doctrina
2201,Zabeche
2218,Tepecimatlan
2221,Huyelachi
2236,Tlachiaco
2242,guarnición
2249,Tecoantepec
2250,Guatemala
2253,peñol
2255,Acatepec
2261,señorío
2274,Salamanca
2275,Medina del Campo
2276,Arévalo
2278,Lagos
2282,llanos
2308,arzobispado
2335,Suchitepec
2339,cabezo
2346,pueblezuelo
2380,MACUILSÚCHIL
2381,PARTIDO
2384,Macuilsúchil
2385,Teutitlan
2387,las Indias
2392,Zapotecas
2393,Obispado de Antequera
2413,jurisdicción
2434,sujetos
2451,aldeas
2453,Iztactepetitlan
2455,Apazco
2456,aldea
2457,Iztlayutlan
2460,comarcanos
2464,Tlacuchaguaya
2469,Tlacolula
2479,Quiyebelacayo
2484,piedras grandes
2486,redondo
2491,provincia zapoteca
2492,Valle de Guaxaca
2510,publo
2511,Coquibela
2543,Miquitla
2587,policía
