,Text
98,leguas
123,legua
397,pobladores
486,vecinos
496,grados
509,longitud
511,pasos
593,tiro de arcabuz
621,pesos
789,tiro de piedra
1278,personas
1291,lenguas
1542,brazas
1619,palmos
1866,braza
1935,latitud
2020,vara
2728,peso
2729,fanega
3116,reales
3549,real
3665,quilates
3674,onzas
3699,tiro de ballesta
3833,cuartas
3926,maravedís
4593,tributarios
4885,tomines
5307,estado
5403,cargas
6056,leguas de boj
6463,tributario
6870,varas
8878,fanegas
8883,libras
9198,altura
9754,jornadas
10011,muchedumbre
10051,chiquihuites
10411,minutos
11538,ochavo
11636,almudes
11965,pies
12124,arroba
13933,tiro de cañón
14885,estados
14953,arrobas
15024,carga
16337,solteras
17154,dedos
17223,dinero
18203,arcabuz
18879,tributantes
24601,tamemes
25944,jornada
27290,cuadra
27713,palmo
27715,cacaos
27863,lengua
28445,cuartillos
28599,moneda
29118,dineros
29274,marcos
29807,libra
29810,pesos de oro
29976,vecino
31285,quintal
31286,ley
31786,dedo
32270,Legua
32347,cacao
32959,millones
33957,boj
36560,tributarios de cuenta
36593,vara de medir
36603,estado y medio
36733,vecinos tributarios
36835,gradas
37530,pesos de tepuzque
38500,tomín
38565,esta
38567,ado
38716,tiros de arcabuz
40093,de cuenta
40627,piernas
40628,pierna
40633,pesos de oro común
40727,Iegua
41011,tasación
41015,peso de oro común
41613,tercia
41890,ve. cinos
42975,salario
42985,quinto
44929,lanzas
51782,hombres
57886,un estado
57895,una carrera de caballo
57901,un tiro de cañón
59424,seiscientos y sesenta indios tributarios
67239,TIPUZQUE
70037,veci­nos
71310,vecinos españoles
73024,onza
77543,hombres de cuenta
77614,indios de cuenta
78088,menudo
78341,legunas
78564,cuerpo de buey
78596,maíz
79093,por lo largo
79968,en redondo
80013,indios tributarios
80243,brazo de agua
80515,hombres tributarios
80693,altor
81590,elevación
82336,ducados
84223,LEGUAS
85933,anchor
86777,tiro
86778,dos de arcabuz
86784,tiro de lombarda
88883,cuartillo
94137,pasos tolomeos
94153,pies comunes
94506,una ballesta
94809,a palmo
96588,altura del polo
97110,Ieguas
101156,tasa
102393,fardos
102433,trojes
102436,cuezcomatl
104056,legua de boj
109999,mano
110631,grado
110856,altura boreal
110986,toneladas
116279,hanega
116694,jeme
119073,xiquipiles
119078,hanegas
119134,zonte
119237,xíquipiles
121398,vecinos encomenderos
121400,vecinos pobladores
121512,pasos en cuadra
121618,a braza
121683,pesos de minas
122678,leguac
123717,poblada
127864,humos
128742,tostones
129108,pipas
129533,dos tiros de escopeta
129863,lagunas
130306,naturales tributarios
131003,tostón
131045,media
136646,real de a cuatro
137824,cuatro piernas
137825,tributos
137971,braza y media
139752,ruán
144247,precio
144446,jornal
144530,maravedí
146902,zontles
146905,zontle
146907,xiquipil
149774,peso de tipusgue
