,Text
298,calles
519,puerto
1295,camino
1305,canoa
1310,caminos
1374,caminan
1825,navíos
1827,barcas
1835,puertos
1836,desembarcaderos
3332,caminar
5493,balsa
5680,vadear
6163,canoas
6168,galeras
9015,camino real
10564,carruaje
10632,balsas
11747,navío
11820,carretas
11833,carretones
12241,marítimos
12251,navega
13302,calle
13930,galera
13931,bateles
14773,crucero
15093,Puerto de Guatulco
15661,arrias
17297,Puerto
18045,navegan
28594,recuas
29372,desembarcaron
29668,barca
31700,caminantes
32237,naos
32238,barcos
32387,caleta
32395,navegado
32440,surgir
32442,flota
32485,bajeles
32496,nado
32551,camina
32773,pasajes
32857,Camínase
33186,camínase
33651,caminaban
33701,carros
34554,pie
34555,caballo
34701,harrias
35440,caletas
37832,andar
38347,bateas
40334,puente
40362,puentes
41788,caminos reales
42185,pasaje
45132,Mal países
46884,términos
48799,navegar
48802,pescados
53158,recua de mulas
53159,acarrea
54065,sendas
54504,caminillos
54765,barquillas
54767,remo
54923,calzadas
55057,pasos
59435,nordeste
61338,barquillos
61618,acequia
61619,río
61671,navegando
61753,calzada
61797,chalupillas
62693,callejas
68237,carriles
72327,vía
72330,mojonera
72331,Navégase
72368,a pie
72369,a caballo
74461,sirga
74526,navegación
75427,viene por la mar
79823,Costean
79851,desembarcadero
79858,desembarcar
84173,CAMINO
86749,patajes
86790,gavias
88133,balsear
90739,arca
91610,flotas
93248,Navegan
93253,artesa
93255,ECHARUTA
95284,puerto de mar
97218,Caminase
101506,arcas
103592,carrera
103664,anda por agua
103838,por agua
103840,por tierra
103869,Puerto de Alvarado
104898,fragatas
104919,barquilla
108190,canal
108231,topaderos
109870,caminado
110779,recua
110988,armadas
111636,nao
111637,almiranta
111897,Puerto de Acapulco
113486,caminen
117633,entradas
117634,salidas
117637,entrar
117638,salir
121393,correr
122487,camino Real
123930,r
124638,navegantes
124914,regir
124970,navegaba
126606,embarcar
126609,embarcasen
126612,embarcó
126631,barquillo
129102,fondo limpio
129106,naos grandes
129107,barcos pequeños
129109,bahía
129753,derrota
133225,real
134545,barquetas
139346,caminarlo
140108,acarreto
142322,Camino
144169,veredas
144904,senda
145184,embarcan
145192,desembarcan
145253,desembarcasen
146036,navegables
146810,navios
147140,callejón
148433,pasajero
149286,campo real
149942,desembarca
150685,PUERTO
152848,artesas
