,Text
26,azabache
153,arena
619,oro
790,cantera
791,piedra franca
792,piedra blanca
794,piedra
801,piedra roja
808,guijarro negro
812,minerales
813,plata
815,caparrosa
816,cristal
817,minas
818,piedras verdes
821,piedras
822,de la ijada
823,de sangre
824,de leche
825,piedra bezahar
829,piedras bezahares
837,salinas
860,madera
894,leña
1480,barro
1659,cal
1723,cantería
1731,salina
2269,pedernales
2555,pedernal
3073,pedrera
3106,carbón
3107,tablas
3108,madera gruesa
3229,ceniciento
3673,metales
3716,liquidámbar
3913,cobre
3914,bronce
3916,acero
3966,sal
3973,canto
3974,teja
3980,piedra seca
6149,maderas
6395,lodo
9525,ceniza
9963,pastos
11533,hierro
13216,trementina
13313,paja
13977,agua dulce
14901,tea
14971,catas
14984,plomo
16148,metal
16149,almagre
16483,lodo negro
16522,piedra preciosa
16801,adobe
16987,palo
17049,agua
17145,mármoles
17196,jaspeadas
19321,terrado
19377,calicanto
19809,piedras preciosas
20134,vigas
20135,tabla
20335,varas
20484,aguas dulces
20926,piedra cal
21251,jaspes
21252,mármol
21777,resina
22771,pedrezuelas
22870,miel
27150,mina
27295,argamasa
27297,maderos
27312,piedra verde
27800,Salinas
28372,aguas
28507,adobes
29581,montes
31288,azogue
31746,añil
31747,tinturas
31752,PALLI
34068,salitre
35345,alumbre
35346,sulfuro
35351,alabastro
35496,estaño
35686,perlas
36288,AGUA
37087,salitrales
37104,guijarros
37407,piedra azufre
37549,alumbres
38252,candelas
38287,recina
38536,yeso
38834,esmeraldas
40229,XIUITL
40387,Cobre
40864,ITZTLI
41478,almártaga
41529,vetas
43260,canteras
43717,carbones
44322,aceite de abeto
44391,canterías
44392,jaspe
47365,chalchihuis
48672,cueros
49597,Minas
49705,margajita
49706,alcohol
49708,mineral
49719,"Minas,"
50005,horcones
50441,minas de cobre
50453,sa
51048,TIZATL
51608,cera
51764,pasto
51951,seda
51952,grana
53545,tierras salitrales
54172,caña
54173,mimbre
55403,TEPETATE
55707,rajas con resina
56755,copale
56897,betún
57137,incienso
58667,salinillas
59084,tetle
59551,esmeralda
59676,copal
60013,tlalcozahuitl
60080,pedregal
60292,hierro colorado
60885,terrados
61184,TLALTZACUTLE
61333,yerbas
61334,ZACATE
61335,TULE
61499,TEZONTAL
61647,yerba
61730,OTATE
61795,zacate
63692,pencas
64156,aceite
64207,herbaje
64212,sebo
64220,algodón
65042,tezontal
65403,hule
65850,cristales
67441,estopa
68737,arenal
72176,alcaparrosa
72440,tetzontli
72588,espejuelo
72590,tezcapoctli
72598,nácar
72907,pómez
74859,lejía
75453,caña maciza
76025,madero
77727,fuente
82212,arenosa
82415,PIEDRA
82979,fuego
84631,SALINAS
84651,brea
84924,sembrarlos
86419,betunes
87302,rocas
87873,salinas naturales
87887,salino
88350,ébano
88427,cobrizas
88842,regar
89442,piedra ancha
93292,TEQUEXQUITE
94310,sementeras
95256,verduras
99658,veneros
99659,albaradas
100945,embetún
101206,calichal
102861,ocotzotl
103055,lumbre
107287,cal blanca
111523,Carneros
112426,cañas
112528,texal
112531,piedra de amolar
112712,piedras de valor
112761,grana cochinilla
112780,bohío
112913,navajas
113006,itztli
113007,navaja
113070,magueyes
113072,vino
113073,sogas
113336,chimaltizatl
113931,ámbar
114005,varazón
114917,aguada
116011,leña seca
116704,azófar
117465,tierra
117468,zahcab
117469,sahkab
120364,tierra blanca
122145,tablazón
127625,píedra
129101,placeles
130930,mineros
130975,zacabo
133290,piedras de color
133437,aguadas
134222,piedras azules
137178,bezoar
137893,laja
138243,palos
140098,colores
142877,palio azul
143141,polvo
144304,pluma
144375,patastle
145584,MADERAS
145587,tablones
145594,gomas
145618,bálsamo
145619,cortezas
145667,goma
145668,sangre de drago
146151,algalia
146173,MINERALES
146233,imán
146679,salmuera
146702,conchas
146766,azufre
147263,menjuí
147551,tizne
149576,ladrillo
149745,plumas
150794,jarcia
