,Text
5,Céspedes
6,Majestad
8,fray
9,Agustín de Salazar
10,vicario
72,señores
76,señora
96,rey
109,religiosos
195,Santa María
205,San Francisco
216,San Andrés
233,Santo Domingo
249,San Miguel
254,San Pablo
258,San Cristóbal
267,Santa Ana
339,Mictla
340,Teticpac
352,señor
353,licenciado
354,Ledesma
355,Alcalde Mayor
356,Excelncia
362,padre
369,ledesma
370,Pedro de Herrera
371,escribano
372,público
379,Juan Núñez Sedeño
380,Hernando de Badajoz
384,Pedro Franco
385,clérigo presbítero
386,cura
391,Pedro de Ledesma
398,Marqués del Valle
406,Alcaldes Ordinarios
414,fundadores
421,Marqués
424,conquistadores
425,Licenciado
426,Delgadillo
427,Oidores
430,descubridor
442,Don
443,Pedro de Alvarado y Orozco
445,don
446,Hernando Cortés
500,Virrey
501,Gobernador
532,Montezuma
542,fundador
544,Juan Peláez de Berrio
545,Capitán General
590,LUIS DE LEóN ROMANO
633,religiosas
888,Magestad
908,prebendados
909,dignidades
910,canónigos
916,obispo
921,capellanes
922,sirvientes
927,reverendísimo
929,Juan López de Zárate
941,Su Santidad
945,Pedro López
949,Antonio Gómez
951,cofrades
977,Bernardo de Alburquerque
989,bachiller
991,Juan Ruiz Martínez
992,deán
1002,antonio de Santa Cruz
1003,canónigo
1006,María de Godoy
1011,Santa Catalina Mártir
1015,Santa Catalina
1016,abogada
1036,Santa Vera Cruz
1037,Santo
1042,Alfonso Portugués
1061,Bartolomé Tofiño
1062,Regidor
1065,Francisco de Herrera
1075,Santa Catalina de Sena
1076,monjas
1077,profesas
1087,San Marcial
1088,abogado
1093,Dios
1094,patrón
1097,santo
1106,Cristóbal de Colmenares
1107,Diego Pacheco
1110,Juan López del Salto
1116,San Sebastián
1122,Hermanos de la Soledad
1124,Sebastián de Buenaventura
1125,Baltasar Rodríguez
1126,Juan de Tovar
1131,Bachiller
1150,seños
1156,presbítero
1167,Pedro Gutiérrez de Vardiga
1168,Escribano Público
1178,Bartolomé de Padilla
1179,Juan Bosque
1180,Andrés Niño
1181,Pedro Ruiz
1182,regidor
1183,Excelencia
1222,ilustre
1224,Suero de Cangas y Quiñónes
1229,Diego Basurto
1230,Alcalde Ordinario
1232,Juan Martín de Valencia
1233,Gonzalo Hernández Alconohel
1235,regidores
1315,capitán
1316,Luis Marín
1318,teniente de gobernador
1321,Juan de Salamanca
1322,Diego de Azamar
1323,Gonzalo Hernádez Morato
1324,Gonzalo Carrasco
1325,Alfonso Sánchez
1326,Miguel Sánchez Gascón
1327,Juan Enamorado
1328,fulano Guzmán
1329,Julián Pardo
1330,Pedro Tostado
1348,clérigos
1349,frailes
1357,gobernador
1468,caciques
1927,pintor
1929,Suero de Cangas y Quiñónez
1937,Francisco Stroza Gali
1940,Suero de Cangas
1964,dios
1967,teutl
2070,ministros
2203,corregidor
2205,encomendero
2235,guerreros
2238,Monteczuma
2321,Jesucristo
2323,Juan de Mata
2349,reyes
2352,Fray
2382,Justicia
2390,Visorrey
2409,Gaspar asensio
2410,Corregidor
2416,real Majestad
2423,Francisco Caballero
2424,Francisco Gutiérrez
2425,alcaldes
2426,Vicente López
2427,Mateo López
2428,Diego Luis
2429,Miguel Ximénez
2435,Pedro GarcÍa
2436,Tomás de Aquino
2437,Juan Pérez
2438,Miguel de los ángeles
2439,Juan GarcÍa
2440,Juan Méndez
2441,intérprete
2466,Gaspar Calderón
2494,cacique
2506,dioses
2524,diablo
2757,Juan Pérez de Zavaleta
2758,Bartolomé MartÍn
2762,Gaspar Asensio
2763,Tomás Caballero
2764,alcalde
2769,Josephe RodrÍguez
2770,Baltasar de Ribera
2772,Majestad Real
2794,Alonso Fernández
2797,Iusepe Fernández
2798,Iusepe de Rojas
2801,MartÍn de Aguilar
2802,Juan López
2803,Domingo Fenández
2804,MartÍn López
2805,Domingo Luis
2806,Francisco Luis
2807,Felipe de Santiago
2808,Alonso López
2914,Demonio
2931,guarnición
2958,cristianos
3130,Santo domingo
3146,Luis de Quiñonez
3147,Tomás de Mendoza
3149,francisco de Velasco
3165,Juan de Canseco
3174,GordÍan Casasano
3175,administrador
3176,alcabala
3184,reverendo
3187,Bernardo de Santa MarÍa
3235,Francisco Maldonado
3338,Luis de Velasco
3398,Juan de Espinosa
3424,intérpretes
3437,tequitlatos
3443,señor mayor
3444,dios de las Aguas
3445,dios de los Vientos
3446,dios de las Sementeras
3447,dios de la Caza
3448,dios de las Pesquerías
3449,dios de los Partos y Nacimientos
3450,dios de la Guerras
3451,dios de la Paz
3466,confesor
3467,pregonero
3509,justicias
3514,capitanes
3525,labradora
3601,herbolario
3675,mineros
3740,Protomédico
3747,caballero
3865,Juan gómez
3866,artesano
3923,Villasana
3924,platero
3991,conquistador
4031,MartÍn EnrÍquez
4051,Johan DÍaz Canseco
4066,Pedro de Navarrete
4074,Pedro de Camporrey
4085,Martín Enríquez
4088,sacra
4090,Rey
4092,Felipe
4224,señor natural
4225,Iztecuhtli
4227,Ditonidona
4352,protomédicos
4509,clérigo
4642,Candudu Camiñaa
4879,mercaderes
4941,Hernando de Cervantes
4955,Gordián de Casasano
4966,Juan Ruiz Zuazo
4967,beneficiado
5027,Alonso de Castellanos
5032,Luis de Castilla
5037,García de Contreras
5038,Juan de Valdivieso
5042,Alonso de la Mota
5048,Carlos de Arellano
5069,Occo Ñaña
5095,soldados
5107,sacerdotes
5151,Yucu Nduza
5371,Cristóbal López
5623,Diego de Esquivel
5636,visorrey
5638,capitán general
5640,presidente
5643,Gordián Casasano
5644,contador
5645,administrador general
5750,vicarios
5784,Fernando Cortés
5875,sacerdote
5908,justicia
5926,jueces
6401,edificadores
6505,visorrey gobernador
6510,Hernando Quijada
6514,Juan de Zárate
6517,Luis Pizarro
6533,marqués
6962,Melchior Suárez
6969,Balthasar de Ribera
6973,majestad
6984,Diego Hernández
6985,Alonso de Sandoval
6988,Juan de la Cruz
6990,Pedro García
6991,Marcos de Vargas
6993,Luis de Zárate
6999,Bartolomé pérez
7020,Alonso Galeote
7095,García de Robles
7099,Agustín de Salinas
