,Text
22,árbol
23,palma
24,palmas
28,árboles
462,plantas
478,pastos
600,juncia
601,yerbas
602,flores
636,frutales
641,olivos
642,nogales
643,almendros
644,ciruelos
645,manzanos
646,perales
647,naranjos
648,granados
649,duraznos
650,membrillos
651,albaricoques
652,limas
653,limones
654,parras
655,cidros
656,morales
660,álamos
661,fresnos
662,pimientos
666,molle
670,guayabos
671,aguacates
674,plátanos
675,mameyes
742,herbolarios
757,cacalosuchitl
758,flor
895,yerba
1282,algodón
1346,paja
1498,ceiba
1593,robles
1594,encinas
1595,caobanos
1596,cedros
1597,cuacuahuites
1626,piñones
1656,tabaco
1755,cuacuahuite
1757,cañas
2209,chamizas
2211,arcabucos
2212,cimatl
2214,chamiza
2482,rosas
2563,henequén
2619,árboles frutales
2620,zapotes
2628,maguey
2635,higueras
2940,caña
3019,pino
3020,roble
3021,encina
3022,madroño
3215,espinosos
3278,grana
3279,cacao
3280,caña dulce
3281,añill
3527,estopa
3545,yedra
3643,yerbabuena
3660,pinos
3661,encinos
3662,acipreses
3689,maíz
3691,ají
3718,brasil
3721,chamelote
3729,cogollos
3735,fresno
3741,zarzaparrilla
3742,guayacán
3743,PICIETE
3752,raíz
3753,ramas
3754,hoja
3768,cáñamo
3770,chichicastle
3771,Lino
4298,quelites
4312,metl
4368,arboledas
4384,copales
4388,cerezos
4420,clavelinas
4421,azucenas
4422,lirios
4780,manzanilla
5176,cañas dulces
5200,madroños
5216,manzanillos
5243,quilites
5244,chile
5245,tomates
5247,chian
5248,linaza
5262,Yerbas
5507,bálsamo
5683,bujucos
5684,raíces
5812,chinamitl
5846,cacahuatales
6041,tepesimatl
6051,breñas
6121,beleño
6123,piciete
6124,liquidámbar
6148,nacastles
6174,cuaucuauitl
6229,ulli
6234,nance
6238,xalcapuli
6251,zarza
6358,añil
6360,achiotl
6457,pita
6689,hojas
6691,ortigas
6797,teocoahuitl
6802,teponaztlcoahuitl
6819,plantanos
6901,rama
7047,peras
7164,magueyes
7498,arbolarios
7507,cerezas
7785,moreras
7972,varas
7994,sabino
8002,hojas de maguey
8074,jazmin
8283,pencas
8288,pencas de maguey
8677,zabila
8713,nopales
8795,hojas de tabaco
8803,mamey
8887,tunales
9155,mezquitales
9156,guajes
9167,fruto
9466,paxtli
9467,musgo
9608,otates
9704,mezquites
9705,nacaztli
9706,tenpixquiztli
9719,peruetanos
9720,tlilzapotes
9721,ciruelas
9722,hobos
9723,piñas
9918,ocote
9964,arcabuco
10110,naranjas agrias
10112,guayabas
10585,zapoteca
11458,cedro
12170,platanales
12185,raíz de Michoacán
12517,xalli
12853,otate
12965,sayal
12975,habas
13008,yagadzoo
13010,ocpatli
13142,capulíes
