,Text
77,maceguales
94,principales
620,esclavos
942,pobres
1492,vasalleje
2431,viejos
2432,ancianos
2483,antiguos naturales
2536,principal
2752,ancianos viejos
2864,antiguos
4300,gente principal
5410,vasallaje
6062,macehual
8979,gente común
9006,maceguales ricos
9406,macehuales
10065,malhechores
11248,viejo
11249,anciano
11674,súbitos
11696,súbditos
11971,gente rica
12587,esclavo
12757,linaje
12785,mandones
13252,mayores
13784,india principal
16255,anciana
16256,antigua
16365,mísera
16366,pobre
16821,antiguas
16874,viejos ancianos
16995,gente baja
17807,vasallos
18171,macegual
20562,tributario
21123,ladrones
23758,grandes
23795,legítimos
23799,linajes
23804,principala
24475,principalas
24541,MACEHUALES
27424,ilustre
27426,MACEGUAL
27496,criado
29721,gente plebeya
29820,ricos
29913,criados
30513,presos
30518,cautivos
30528,cautivo
34936,VIEJAS
35155,gente pobre
35671,tributarios
36406,indios principales
36465,vasallo
37544,mineros ricos
37727,personas antiguas
37857,gente menuda
38080,escla vos
38801,hombres ricos
43019,ESCLAVOS
45431,principalejos
45434,señores naturales
45862,señores
52204,mozos solteros
52542,muchachos
52557,criaturas
52841,gente pulida
52984,delincuentes
53010,personas grandes
53420,indios de servicio
54121,señor
54532,caciques
54536,SEÑOR
54537,PRINCIPAL
55387,antepasados
56398,viudas
56427,"mozos,"
56772,solteras
57157,descendientes
58822,vagabundo
58839,algodón
59154,adúlteros
61900,antiguos indios principales
62380,prisionero
62678,principales salinas
64134,tonalpouhque
65227,chichimecas
67526,tlayacanques
67794,criadas
68206,noble
68207,plebeyo
68208,nobles
68209,plebeyos
71737,descubridores
72955,señores de la tierra
73081,tequihua
73311,gente ilustre
73312,plebeyas
73385,hidalgos
73524,sangre  real
73806,tequihuaque
74016,señores desta tierra
74880,plebeya
75979,viejos bailaban
76092,principal cometía delito
76520,principal indio
76523,mujer natural
77155,naturales principales
78936,antiguos moradores
78943,antiguos pobladores
79512,indios viejos
82291,súbdito
82595,platanillos
83193,miserables
88861,hombre muy rico
88899,vagabundos
89507,SEÑORES
90401,criadores
98245,antecesores
98369,comarcanos
98378,mancebos
98407,mancebo
98421,común gente
98583,pasados
100312,pobladores
100365,prisioneros
100570,salvaje
100965,enemigos
101641,gente noble
101642,villanos
101694,gente rústica
102527,esclava
102548,villano
102654,gente miserable
106663,mayorales
109448,mujeres
109528,bárbaros
109567,gente popular
109598,niños
109655,mancebas
109745,doncellas
109746,casadas
120118,conquistadores
120119,descubridor
120203,encomenderos
121413,personas señaladas
121633,esclavas
127278,hombres nobles
127807,encomendados
128563,religiosos
128572,frailes
128739,mercaderes
134169,hombre rico
136177,peones
137701,pobrísimos
140630,pilhuanes
143415,PRINCIPALES
145445,servidor
146260,viejas
152364,baja suerte
152645,gente regalada
153323,mozo
